frame_no,timestamp_sec,lon,lat
464,92.6,76.256795628,25.98926021
465,92.8,76.256813162,25.989302475
466,93.0,76.256831672,25.98934621
467,93.2,76.256849621,
468,93.4,76.256866382,
469,93.6,76.256882019,
470,93.8,76.25689785,25.989516653
471,94.0,76.256912013,
472,94.2,76.2569271,25.989603009
473,94.4,76.256942022,25.989646549
474,94.6,76.256957349,25.989689662
475,94.8,76.256972401,25.989730836
476,95.0,76.256988501,25.98977374
477,95.2,76.257005419,25.989816473
478,95.4,76.257023172,
479,95.6,76.257041244,
480,95.8,76.257059647,
481,96.0,76.25707766,25.989985746
482,96.2,76.257096017,25.990027768
483,96.4,76.2571,25.990069763
484,96.6,76.257132674,25.990111861
485,96.8,76.257150228,
486,97.0,76.257168538,
487,97.2,76.257186329,25.99023901
488,97.4,76.257204327,
489,97.6,76.2572241,25.990323209
490,97.8,76.257244256,
491,98.0,76.257267315,
492,98.2,76.257289412,25.99044391
493,98.4,76.257313531,25.990485452
494,98.6,76.257335789,25.99052371
495,98.8,76.257358742,25.990565522
496,99.0,76.257379306,25.990605492
497,99.2,76.257399899,
498,99.4,76.257419452,
499,99.6,76.257438469,25.990728674
500,99.8,76.257458461,25.990771826
501,100.0,76.257477142,25.990812578
502,100.2,76.257495574,25.99085361
503,100.4,76.257514839,
504,100.6,76.257533436,25.990938637
505,100.8,76.257551831,25.990980454
506,101.0,76.257569914,25.991022232
507,101.2,76.257587638,25.991063608
508,101.4,76.257605671,25.991
509,101.6,76.257623306,25.991
510,101.8,76.257641133,25.991190671
511,102.0,76.257658983,25.991232666
512,102.2,76.257676985,25.991274741
513,102.4,76.257694705,25.991315815
514,102.6,76.257713406,25.991358619
515,102.8,76.257731683,25.991400452
516,103.0,76.25774955,25.99144169
517,103.2,76.257767796,25.991484462
518,103.4,76.257785283,25.991525635
519,103.6,76.257803376,25.991568567
520,103.8,76.25782074,25.991609933
521,104.0,76.257839159,25.991653946
522,104.2,76.257856271,25.99169485
523,104.4,76.257873784,25.991736823
524,104.6,76.257891042,25.991778254
525,104.8,76.257908271,25.991819759
526,105.0,76.257926424,25.991863468
527,105.2,76.257943913,
528,105.4,76.257961196,
529,105.6,76.257978488,
530,105.8,76.257995687,25.992032356
531,106.0,76.258012893,25.992074634
532,106.2,76.258030194,
533,106.4,76.258047336,
534,106.6,76.258064723,
535,106.8,76.258082104,25.99224291
536,107.0,76.258099906,25.992286028
537,107.2,76.2581,
538,107.4,76.258134552,25.99237081
539,107.6,76.258151638,25.992413336
540,107.8,76.258168509,
541,108.0,76.258185324,25.992498242
542,108.2,76.258201453,
543,108.4,76.258218327,25.992581324
544,108.6,76.258235561,
545,108.8,76.258252804,25.992667857
546,109.0,76.25826975,25.99271021
547,109.2,76.258285922,25.992750927
548,109.4,76.258303046,
549,109.6,76.258320373,
550,109.8,76.258337314,25.992880082
551,110.0,76.258353345,25.992920933
552,110.2,76.258370135,
553,110.4,76.258386852,
554,110.6,76.258403836,25.99305131
555,110.8,76.258419725,25.993091963
556,111.0,76.258436794,
557,111.2,76.258452922,
558,111.4,76.258470377,
559,111.6,76.258487391,
560,111.8,76.258503991,
561,112.0,76.258521,25.993347299
562,112.2,76.258537307,
563,112.4,76.258554793,25.99343201
564,112.6,76.25857183,25.993474663
565,112.8,76.258588022,25.993516364
566,113.0,76.258604608,25.993559894
567,113.2,76.258620373,25.993601424
568,113.4,76.258637102,
569,113.6,76.258652777,25.99368601
570,113.8,76.25866949,
571,114.0,76.258684902,25.993771553
572,114.2,76.258701545,25.993815875
573,114.4,76.258717908,25.993859664
574,114.6,76.25873334,25.993901
575,114.8,76.258748695,25.993943025
576,115.0,76.258764707,25.993986571
577,115.2,76.258780365,25.99402891
578,115.4,76.25879672,
579,115.6,76.25881247,25.9941
580,115.8,76.258828663,
581,116.0,76.25884423,
582,116.2,76.258860574,25.994243467
583,116.4,76.258876305,25.994285382
584,116.6,76.258892929,25.994329987
585,116.8,76.258908364,25.994371754
586,117.0,76.258924644,25.994415679
587,117.2,76.258939995,25.994457457
588,117.4,76.25895603,25.994501
589,117.6,76.258970821,
590,117.8,76.258986748,25.994586452
591,118.0,76.25900196,25.994628431
592,118.2,76.259017796,25.99467221
593,118.4,76.259032614,25.99471353
594,118.6,76.25904823,25.994757267
595,118.8,76.259063871,25.994801
596,119.0,76.259078867,
597,119.2,76.259094291,25.994886936
598,119.4,76.259108934,25.994928338
599,119.6,76.259124864,25.99497295
600,119.8,76.259140729,25.995017022
601,120.0,76.259155507,
602,120.2,76.259171342,
603,120.4,76.259186701,
604,120.6,76.259202619,25.995187499
605,120.8,76.259217719,
606,121.0,76.259233286,25.995273283
607,121.2,76.259248042,25.995314533
608,121.4,76.259264012,25.995359352
609,121.6,76.259278767,25.995400637
610,121.8,76.259294795,25.995444905
611,122.0,76.259309856,
612,122.2,76.259326008,25.995530804
613,122.4,76.259340726,
614,122.6,76.259356543,25.995616564
615,122.8,76.259371,
616,123.0,76.259386882,25.995702581
617,123.2,76.259401565,25.995744851
618,123.4,76.259416972,
619,123.6,76.259431313,25.995831
620,123.8,76.259445495,25.9958733
621,124.0,76.25946066,25.995918031
622,124.2,76.259474905,25.995960329
623,124.4,76.259489674,25.99600421
624,124.6,76.259503912,25.99604638
625,124.8,76.259519071,25.996091322
626,125.0,76.259533187,
627,125.2,76.25954744,
628,125.4,76.259562251,25.996219574
629,125.6,76.259576418,
630,125.8,76.259591053,25.996305949
631,126.0,76.259605152,
632,126.2,76.259619728,25.996392402
633,126.4,76.25963381,25.996434821
634,126.6,76.259648346,25.996478758
635,126.8,76.25966233,25.996521
636,127.0,76.259676878,25.996565277
637,127.2,76.259691399,25.996609545
638,127.4,76.259704846,25.996650938
639,127.6,76.259719065,25.996694967
640,127.8,76.259732709,25.996737421
641,128.0,76.259746987,25.996781
642,128.2,76.259761268,25.996825812
643,128.4,76.259774908,25.99686731
644,128.6,76.259789526,25.99691
645,128.8,76.259803867,25.99695474
646,129.0,76.25981781,25.99699707
647,129.2,76.259831881,25.997040456
648,129.4,76.259845973,25.997084442
649,129.6,76.259859275,
650,129.8,76.259873154,
651,130.0,76.259887019,25.997214541
652,130.2,76.259899964,
653,130.4,76.259913715,25.99730028
654,130.6,76.25992734,25.997344355
655,130.8,76.259940586,25.997387957
656,131.0,76.259953464,25.997430069
657,131.2,76.259967213,25.997473793
658,131.4,76.259981552,25.99751792
659,131.6,76.259996104,25.997562031
660,131.8,76.260010297,25.997605275
661,132.0,76.260024445,25.997648602
662,132.2,76.260037828,
663,132.4,76.260051907,
664,132.6,76.260065516,25.997777578
665,132.8,76.260079015,25.997821
666,133.0,76.260092103,25.99786537
667,133.2,76.260104947,25.997908825
668,133.4,76.2601,25.997953541
669,133.6,76.260130013,25.99799441
670,133.8,76.260143062,25.998038885
671,134.0,76.260155831,
672,134.2,76.260168977,
673,134.4,76.260181965,25.99817039
674,134.6,76.260195096,25.998213901
675,134.8,76.260208273,25.998257456
676,135.0,76.260221361,25.998301
677,135.2,76.260234374,25.99834451
678,135.4,76.260247648,
679,135.6,76.260259702,25.998429951
680,135.8,76.260272542,25.998473521
681,136.0,76.260285605,25.998517743
682,136.2,76.260298542,25.998561
683,136.4,76.26031,25.998605066
684,136.6,76.260324076,25.998648792
685,136.8,76.260336903,25.998692427
686,137.0,76.26034994,25.998736838
687,137.2,76.260362764,25.998780356
688,137.4,76.26037571,25.998824002
689,137.6,76.260388698,25.998867426
