frame_no,timestamp_sec,lon,lat
432,86.2,76.247026535,26.341
433,86.4,76.24701839,26.341
434,86.6,76.247010246,
435,86.8,76.247002514,26.341
436,87.0,76.246994836,26.341
437,87.2,76.24698709,26.341
438,87.4,76.246979283,
439,87.6,76.246971274,26.341
440,87.8,76.246963225,26.341571
441,88.0,76.246955124,26.341
442,88.2,76.246946962,26.341
443,88.4,76.246938619,
444,88.6,76.246930454,
445,88.8,76.246922312,26.341
446,89.0,76.246914125,26.341
447,89.2,76.246905871,26.341
448,89.4,76.24689757,26.341
449,89.6,76.246889809,26.341
450,89.8,76.24688154,26.341
451,90.0,76.246873276,
452,90.2,76.246864867,26.341
453,90.4,76.246856705,26.340993591
454,90.6,76.246848563,
455,90.8,76.246840376,
456,91.0,76.246832176,26.340860085
457,91.2,76.246824017,26.340815568
458,91.4,76.24681571,
459,91.6,76.246807598,26.340725641
460,91.8,76.246799499,26.340681
461,92.0,76.246791242,26.34063581
462,92.2,76.2467831,26.340591
463,92.4,76.246775013,26.340546761
464,92.6,76.246766874,26.340502252
465,92.8,76.246758732,
466,93.0,76.246751,26.34041581
467,93.2,76.246743104,
468,93.4,76.246735079,26.34032642
469,93.6,76.246727149,
470,93.8,76.246718983,26.340236625
471,94.0,76.246710832,
472,94.2,76.246702606,
473,94.4,76.246694385,
474,94.6,76.246685961,26.340057663
475,94.8,76.246677742,26.340013284
476,95.0,76.246669663,26.339968829
477,95.2,76.246661599,
478,95.4,76.246653446,26.33987941
479,95.6,76.246645285,26.33983491
480,95.8,76.246637194,26.339790438
481,96.0,76.246629451,26.339746921
482,96.2,76.246621575,26.33970221
483,96.4,76.24661353,26.33965571
484,96.6,76.246606037,26.33961
485,96.8,76.246598606,
486,97.0,76.24659063,26.339521
487,97.2,76.246583053,26.339477846
488,97.4,76.246575543,26.339434901
489,97.6,76.246567349,26.339388592
490,97.8,76.246559814,26.339345803
491,98.0,76.24655161,26.339299327
492,98.2,76.246543891,26.339256535
493,98.4,76.246535592,26.339210924
494,98.6,76.246527229,
495,98.8,76.246519621,26.3391219
496,99.0,76.24651,26.3390765
497,99.2,76.246503465,26.339033652
498,99.4,76.246495088,26.338988209
499,99.6,76.246486699,26.338942749
500,99.8,76.246478787,26.338899978
501,100.0,76.246470331,26.338854573
502,100.2,76.246461838,26.338809026
503,100.4,76.246453344,26.338763702
504,100.6,76.246445327,26.338721
505,100.8,76.246436813,26.338676557
506,101.0,76.246428139,26.338631081
507,101.2,76.246419544,26.33858568
508,101.4,76.24641,26.338543055
509,101.6,76.246403014,26.33849854
510,101.8,76.246394462,26.338453046
511,102.0,76.246386194,26.338408471
512,102.2,76.246377795,
513,102.4,76.246369933,26.338320545
514,102.6,76.246361853,
515,102.8,76.246353715,26.33823041
516,103.0,76.246345863,
517,103.2,76.246337941,
518,103.4,76.246330676,26.33809851
519,103.6,76.246322976,26.338053942
520,103.8,76.246315145,26.33800841
521,104.0,76.246307463,26.337963828
522,104.2,76.246299655,26.337919225
523,104.4,76.246291587,26.337873782
524,104.6,76.246283507,26.33782902
525,104.8,76.246275469,26.337784582
526,105.0,76.246267368,26.33773941
527,105.2,76.246260009,26.337697247
528,105.4,76.246252144,26.337652472
529,105.6,76.246244083,
530,105.8,76.246236153,26.337562595
531,106.0,76.246228197,26.337518039
532,106.2,76.246220289,26.337473405
533,106.4,76.246212086,26.337427923
534,106.6,76.246203885,26.33738331
535,106.8,76.24619555,26.337338885
536,107.0,76.246186925,26.337293599
537,107.2,76.24617884,26.337251
538,107.4,76.246170319,26.337207453
539,107.6,76.246161854,
540,107.8,76.24615349,
541,108.0,76.246145353,26.33707231
542,108.2,76.246137014,26.337027029
543,108.4,76.246129206,26.336984402
544,108.6,76.246121096,26.336939836
545,108.8,76.2461,
546,109.0,76.246105236,26.336851701
547,109.2,76.246096973,26.336806248
548,109.4,76.246088644,26.336760787
549,109.6,76.246080272,26.336715549
550,109.8,76.246072441,26.336672759
551,110.0,76.246064058,26.336627361
552,110.2,76.246055589,26.336581
553,110.4,76.246047631,26.336539399
554,110.6,76.246039301,26.336494881
555,110.8,76.246030792,26.336449442
556,111.0,76.246022309,26.336404207
557,111.2,76.246014433,26.336361
558,111.4,76.246006342,26.336317048
559,111.6,76.245998182,26.336271541
560,111.8,76.245990259,
561,112.0,76.245982156,
562,112.2,76.24597464,
563,112.4,76.245966533,26.336094595
564,112.6,76.245958594,26.336050069
565,112.8,76.2459507,26.336005549
566,113.0,76.24594275,26.335960982
567,113.2,76.245934686,26.335916397
568,113.4,76.245926622,26.335871
569,113.6,76.245918598,26.335827481
570,113.8,76.245910614,26.335782996
571,114.0,76.245902621,26.33573851
572,114.2,76.245894629,26.335693948
573,114.4,76.245886814,26.335650283
574,114.6,76.245878372,26.335603066
575,114.8,76.245870437,26.33555859
576,115.0,76.245862644,26.335514881
577,115.2,76.245854643,
578,115.4,76.245846835,
579,115.6,76.245838932,26.33538321
580,115.8,76.245830384,26.335336059
581,116.0,76.245822528,26.335292376
582,116.2,76.245814738,26.335248822
583,116.4,76.245806889,
584,116.6,76.245798447,
585,116.8,76.245790599,
586,117.0,76.245782633,26.335070801
587,117.2,76.245774034,26.335024363
588,117.4,76.245765966,26.334980702
589,117.6,76.24575791,26.33493721
590,117.8,76.245749404,26.334890885
591,118.0,76.245741406,26.334847283
592,118.2,76.24573355,
593,118.4,76.245725034,
594,118.6,76.245717027,26.334714768
595,118.8,76.245708674,26.33466929
596,119.0,76.245700801,26.33462577
597,119.2,76.245692646,26.334580322
598,119.4,76.245684843,
599,119.6,76.24567665,26.334491
600,119.8,76.245668772,26.334447741
601,120.0,76.245660454,26.334402299
602,120.2,76.245652621,26.334359551
603,120.4,76.245644091,26.334313265
604,120.6,76.245636026,26.334270583
605,120.8,76.245627435,
606,121.0,76.245618639,
607,121.2,76.245610509,
608,121.4,76.245601732,26.334090009
609,121.6,76.245593663,26.334047401
610,121.8,76.245585178,26.334001
611,122.0,76.245577106,26.333958463
612,122.2,76.245568759,26.333913023
613,122.4,76.245560862,26.333869495
614,122.6,76.245552605,
615,122.8,76.245544651,26.33378061
616,123.0,76.245536165,26.333734345
617,123.2,76.245528358,26.333691
618,123.4,76.245520341,26.333648066
619,123.6,76.24551,26.333601
620,123.8,76.245503872,26.333558239
621,124.0,76.245495456,26.33351
622,124.2,76.245487698,26.33346929
623,124.4,76.245479801,26.333425631
624,124.6,76.245471488,26.333379277
625,124.8,76.245463688,
626,125.0,76.245455648,26.333291
627,125.2,76.245447267,26.333244803
628,125.4,76.245439395,26.333201
629,125.6,76.245431395,
630,125.8,76.245423547,
631,126.0,76.2454155,26.333068696
632,126.2,76.245407649,
633,126.4,76.245399143,26.332977953
634,126.6,76.24539132,
635,126.8,76.245383381,
636,127.0,76.245375556,26.332846049
637,127.2,76.245367524,26.332801
638,127.4,76.245359662,26.332757829
639,127.6,76.245351081,26.33271071
640,127.8,76.245343086,26.332667025
641,128.0,76.245334916,26.332622529
642,128.2,76.245326927,26.332578932
643,128.4,76.24531881,26.332534521
644,128.6,76.24531079,26.33249083
645,128.8,76.24530203,26.332443751
646,129.0,76.245293791,26.33239931
647,129.2,76.245285768,26.332355478
648,129.4,76.245277694,26.332310932
649,129.6,76.245269792,26.33226741
650,129.8,76.24526163,26.332222747
651,130.0,76.245253631,26.332179041
652,130.2,76.245244965,26.332131907
653,130.4,76.245236828,26.332088272
654,130.6,76.245228493,26.332043823
655,130.8,76.245220314,26.332000282
656,131.0,76.24521,26.331
657,131.2,76.24520372,26.331
658,131.4,76.245195543,26.331
659,131.6,76.245186961,26.331820412
660,131.8,76.245178823,26.331
661,132.0,76.24517086,26.331
662,132.2,76.245162832,26.331
663,132.4,76.24515482,26.331643221
664,132.6,76.24514677,26.331
665,132.8,76.245138781,26.331
666,133.0,76.245130815,26.331
667,133.2,76.245122886,26.331
668,133.4,76.2451,26.331
669,133.6,76.245106846,26.331
670,133.8,76.245098774,26.331
671,134.0,76.245090571,26.331
672,134.2,76.245082585,26.331
673,134.4,76.245075195,26.331
674,134.6,76.245067295,26.331
675,134.8,76.245059474,26.331
676,135.0,76.245051434,26.331
677,135.2,76.245043568,26.331
678,135.4,76.245035999,26.330976836
679,135.6,76.245027942,26.330931
680,135.8,76.245019828,26.33088581
681,136.0,76.24501,26.330840532
682,136.2,76.245003997,26.330798575
683,136.4,76.244995573,26.33075326
684,136.6,76.244986932,26.330706959
685,136.8,76.244978902,26.330664255
686,137.0,76.244970356,26.330618706
687,137.2,76.24496235,26.330575957
688,137.4,76.24495368,26.330529703
689,137.6,76.244945594,26.330486988
690,137.8,76.244936818,26.33044073
691,138.0,76.244928368,26.33039541
692,138.2,76.244920232,26.330351
693,138.4,76.24491,26.330306359
694,138.6,76.244903856,26.33026361
695,138.8,76.244895818,26.330219951
696,139.0,76.24488738,
697,139.2,76.244879689,
698,139.4,76.2448714,26.330084602
699,139.6,76.24486376,26.330041
700,139.8,76.244855466,26.329995486
701,140.0,76.244847675,26.32995207
702,140.2,76.244839471,
703,140.4,76.244832,26.329862766
704,140.6,76.244823824,26.329816339
705,140.8,76.244815953,26.329772462
706,141.0,76.244807964,
707,141.2,76.244799438,26.329682726
708,141.4,76.24479157,26.329639777
709,141.6,76.244783515,
710,141.8,76.244774878,26.329549766
711,142.0,76.244766878,
712,142.2,76.244758396,26.329459845
713,142.4,76.244750348,26.32941
714,142.6,76.244742458,26.329373336
715,142.8,76.244733953,26.329326938
716,143.0,76.244725997,26.32928348
717,143.2,76.244717604,26.329237052
718,143.4,76.244709924,
719,143.6,76.244701657,26.329147941
720,143.8,76.244693953,26.329104271
721,144.0,76.244686451,
722,144.2,76.244678295,26.329014977
723,144.4,76.244670657,
724,144.6,76.244662365,26.328925896
725,144.8,76.244654579,
726,145.0,76.244646284,26.32883567
727,145.2,76.244638569,26.328792921
728,145.4,76.24463061,26.328749271
729,145.6,76.244622108,26.328702995
730,145.8,76.244613871,26.328658507
731,146.0,76.244605969,26.32861578
732,146.2,76.244597223,
733,146.4,76.244589008,
734,146.6,76.244580627,26.328480467
735,146.8,76.24457264,26.328437066
736,147.0,76.244564744,26.32839272
737,147.2,76.244557069,26.328348859
738,147.4,76.244549204,26.328304366
739,147.6,76.244540843,
740,147.8,76.244532904,26.328212439
741,148.0,76.244525183,
742,148.2,76.244517361,
743,148.4,76.24450957,26.328080375
744,148.6,76.244501382,
745,148.8,76.244493154,26.327991
746,149.0,76.244484224,26.327944847
747,149.2,76.24447587,26.327901021
748,149.4,76.244467555,26.327857507
749,149.6,76.244458621,26.32781
750,149.8,76.244450212,26.327767426
751,150.0,76.244441834,26.327724092
752,150.2,76.244433556,26.327680732
753,150.4,76.244424998,26.327634231
754,150.6,76.244416995,26.327590603
755,150.8,76.244408903,26.32754621
756,151.0,76.244400589,26.327499897
757,151.2,76.244392688,
758,151.4,76.244384634,26.327412662
759,151.6,76.244375883,26.327366402
760,151.8,76.24436761,26.327322721
761,152.0,76.24435945,26.327279273
762,152.2,76.244351308,26.327235623
763,152.4,76.244342706,
764,152.6,76.244334563,
765,152.8,76.244326641,26.32710123
766,153.0,76.244318278,26.327054777
767,153.2,76.244310446,26.32701
768,153.4,76.244302707,26.326967532
769,153.6,76.244294616,26.326921
770,153.8,76.244287046,26.326877438
771,154.0,76.244279336,26.326833809
772,154.2,76.244271454,
773,154.4,76.244262964,26.326743979
774,154.6,76.244254924,26.326700389
775,154.8,76.24424694,26.326656835
776,155.0,76.244238512,26.326610536
777,155.2,76.244230612,26.32656703
778,155.4,76.244222249,26.326520748
779,155.6,76.244214401,
780,155.8,76.244206733,26.326434436
781,156.0,76.244198452,26.32638807
782,156.2,76.24419081,26.326345389
783,156.4,76.24418261,26.326299072
784,156.6,76.244175041,26.326256321
785,156.8,76.244166718,26.326209859
786,157.0,76.244158441,
787,157.2,76.244150593,26.32612184
788,157.4,76.244142188,26.326076392
789,157.6,76.24413426,26.32603373
790,157.8,76.244125572,26.325987427
791,158.0,76.2441,26.325942101
792,158.2,76.2441091,26.325899406
793,158.4,76.244100706,26.325854029
794,158.6,76.244092894,26.32581
795,158.8,76.244084682,26.325766048
796,159.0,76.24407642,26.325719821
797,159.2,76.244068808,
798,159.4,76.244060649,26.325631
799,159.6,76.24405292,
800,159.8,76.244044808,26.325542643
801,160.0,76.244037128,
802,160.2,76.244028664,
803,160.4,76.244020855,26.32541
804,160.6,76.244012343,26.325364741
805,160.8,76.244004532,26.325322058
806,161.0,76.243996046,26.325275799
807,161.2,76.243988199,26.325233101
808,161.4,76.243979703,
809,161.6,76.243971712,
810,161.8,76.24396321,26.325097071
811,162.0,76.243955253,26.325053479
812,162.2,76.243947242,26.325010023
813,162.4,76.243939197,26.324966445
814,162.6,76.243930662,
815,162.8,76.243922631,26.324876728
816,163.0,76.243914471,26.32483221
817,163.2,76.243906056,26.32478591
818,163.4,76.243898164,26.324742299
819,163.6,76.243890103,26.324697791
820,163.8,76.2438821,
821,164.0,76.243874087,26.32461051
822,164.2,76.243865466,26.324563405
823,164.4,76.243857437,26.324519685
824,164.6,76.243849278,
825,164.8,76.243841259,26.324431
826,165.0,76.2438331,26.324387099
827,165.2,76.24382464,26.324340788
828,165.4,76.243816465,26.324296275
829,165.6,76.243808519,26.324252557
830,165.8,76.243800673,26.324208996
